Beach,CSES,CSES Label,Park,Region,Type,Access type,Beach colour,Beach width,Built environment,Cliff height,Cliff slope,Cliff special features,Coastal landscape features,D Value,Dunes,Latitude,Litter,Longitude,Noise disturbance,Non-built environment,Rocky shore extent,Rocky shore roughness,Rocky shore slope,Sewage discharge evidence,Skyline,Skyline landform,Tides,Type of sediment,Utilities,Valleys,Vegetation cover,Vegetation debris,Vistas,Water colour and clarity
North Bay,Class IV,Class IV,N/A,Cape Breton,Rural,4,4,4,3,1,1,1,4,0.37,2,46.6652203,5,-60.4057145,4,5,1,1,1,5,3,3,5,5,1,1,5,4,2,3
Ingonish,Class III,Class III,National park,Cape Breton,Rural,5,4,3,3,2,4,4,3,0.5,1,46.644153,5,-60.3915448,5,5,1,1,1,5,4,3,5,3,3,1,5,4,1,3
Little River,Class IV,Class IV,N/A,Cape Breton,Rural,5,4,3,3,2,3,2,3,0.25,2,46.4434756,4,-60.4604743,5,5,1,1,1,5,2,4,5,5,1,1,5,4,2,3
Battlemans/Point Aconi,Class IV,Class IV,N/A,Cape Breton,Rural,5,4,3,1,2,4,2,5,0.04,3,46.3228717,4,-60.3346747,2,5,3,3,2,5,2,3,5,5,3,3,4,1,2,3
Florence,Class V,Class V,N/A,Cape Breton,Village,4,3,4,3,2,5,4,3,-0.19,4,46.2632277,3,-60.2416228,1,3,1,1,1,5,2,2,5,5,1,1,2,2,1,4
Indian,Class V,Class V,N/A,Cape Breton,Urban,4,3,3,1,1,1,1,3,-0.5,2,46.211812,3,-60.2369115,1,1,1,1,1,5,2,2,5,5,1,1,2,3,2,3
Dominion,Class V,Class V,Provincial park,Cape Breton,Village,4,3,3,3,1,1,1,5,-0.15,2,46.2179005,3,-60.0365773,2,5,1,1,1,5,2,2,5,5,1,1,4,3,2,3
Big Glace Bay,Class IV,Class IV,N/A,Cape Breton,Rural,4,4,4,3,2,2,3,4,0.31,4,46.1779798,3,-59.9213516,5,5,1,1,1,5,3,2,5,5,3,1,4,3,1,3
Phalens Bar,Class IV,Class IV,N/A,Cape Breton,Rural,4,4,3,3,1,1,1,5,0.32,5,46.1141917,3,-59.8854852,4,5,1,1,1,5,5,2,5,5,2,5,5,3,1,3
Mira Gut,Class IV,Class IV,N/A,Cape Breton,Rural,4,4,3,3,1,1,1,4,0.06,3,46.0363383,3,-59.9669802,2,5,1,1,1,5,3,2,5,5,1,1,4,4,2,3
Mira River,Class III,Class III,N/A,Cape Breton,Rural,4,4,3,3,1,1,1,3,0.45,3,46.03421,5,-59.9683117,4,5,1,1,1,5,5,2,5,5,1,5,4,4,2,3
Main-a-dieu,Class IV,Class IV,N/A,Cape Breton,Village,5,4,3,4,2,3,2,5,0.36,4,45.9954073,3,-59.8472179,4,5,1,1,1,5,4,2,5,5,2,1,4,3,1,3
Morrison,Class II,Class II,N/A,Cape Breton,Remote,5,3,4,5,2,4,3,5,0.76,4,45.7068092,5,-60.324293,5,5,1,1,1,5,5,2,5,5,5,1,5,3,2,3
Point Michaud,Class III,Class III,Provincial park,Cape Breton,Rural,5,3,3,4,2,3,4,5,0.53,4,45.5908704,4,-60.681361,5,5,1,1,1,5,5,2,5,5,3,1,5,2,1,3
Point Michaud Natural West,Class II,Class II,Provincial park,Cape Breton,Remote,5,3,2,5,2,3,3,4,0.73,4,45.5732449,4,-60.6883609,5,5,4,3,3,5,5,2,5,5,5,1,5,3,2,3
Point Michaud Rocky,Class I,Class I,Provincial park,Cape Breton,Remote,5,3,3,5,2,4,4,5,0.87,3,45.5699618,5,-60.682156,5,5,5,4,5,5,5,1,5,5,5,1,5,3,1,3
Point Michaud Natural East,Class III,Class III,Provincial park,Cape Breton,Remote,5,3,2,3,1,1,1,5,0.47,4,45.5762153,4,-60.6885815,5,5,5,4,3,5,3,2,5,5,4,1,5,3,2,3
Battery,Class IV,Class IV,Provincial park,Cape Breton,Rural,4,3,2,3,2,3,3,3,0.18,1,45.6516401,5,-60.8691344,2,5,1,1,1,5,4,3,5,5,1,1,5,3,1,3
Pondville,Class III,Class III,Provincial park,Cape Breton,Rural,4,3,3,4,2,4,3,4,0.51,3,45.5375932,5,-60.9780966,5,5,5,3,4,5,4,2,5,5,2,1,5,3,2,3
Port Shoreham,Class IV,Class IV,Provincial park,Eastern Shore,Rural,5,3,4,3,3,3,3,2,0.33,3,45.4210376,5,-61.3984178,5,5,1,1,1,5,5,3,5,5,1,1,5,3,1,3
Queensport,Class IV,Class IV,N/A,Eastern Shore,Rural,2,3,2,3,2,4,3,4,0.29,3,45.3394377,3,-61.2628869,4,5,2,3,2,5,4,3,5,4,1,4,4,4,2,2
Fox Island,Class II,Class II,N/A,Eastern Shore,Rural,4,3,3,4,1,1,1,4,0.72,3,45.3426124,4,-61.1025067,5,5,4,4,5,5,5,3,5,4,3,1,5,4,1,3
Black Duck Cove,Class IV,Class IV,Provincial park,Eastern Shore,Remote,5,4,3,4,1,1,1,3,0.36,2,45.2744961,5,-61.0300457,5,5,3,3,5,5,5,3,5,5,2,1,5,2,1,3
Tor Bay,Class II,Class II,Provincial park,Eastern Shore,Remote,5,3,3,5,1,1,1,5,0.8,4,45.1855429,5,-61.354481,5,5,5,5,3,5,5,2,5,5,5,1,5,3,1,3
Fancys,Class II,Class II,N/A,Eastern Shore,Remote,5,4,3,5,2,4,3,5,0.72,1,44.9710572,4,-62.0502318,5,5,1,1,1,5,5,2,5,3,5,1,5,4,2,3
Port Hilford,Class IV,Class IV,N/A,Eastern Shore,Village,2,4,3,3,1,1,1,2,0.3,3,45.1066614,5,-61.8441461,5,5,5,3,3,5,5,3,5,5,1,4,4,3,1,3
Port Bickerton lighthouse,Class III,Class III,N/A,Eastern Shore,Remote,5,4,3,5,1,1,1,2,0.63,3,45.0941331,5,-61.6933197,5,5,4,3,3,5,5,2,5,3,5,1,5,3,2,4
Psyche Cove,Class I,Class I,Provincial park,Eastern Shore,Rural,5,4,3,5,2,3,3,4,1.05,5,44.8086672,5,-62.5603742,5,5,3,4,3,5,5,2,5,5,5,3,5,4,1,4
Bull,Class III,Class III,Provincial park,Eastern Shore,Rural,5,4,2,5,2,4,3,3,0.64,3,44.8366839,5,-62.5754339,5,5,4,3,2,5,5,2,5,3,5,1,5,3,1,3
Sandbar,Class I,Class I,N/A,Eastern Shore,Remote,5,4,4,5,2,5,4,5,1.17,3,44.7515555,5,-62.7165693,5,5,5,4,4,5,5,2,5,5,5,1,5,3,4,4
Big Sandy Cove,Class I,Class I,N/A,Eastern Shore,Remote,5,5,5,5,1,1,1,5,0.95,5,44.7304072,5,-62.7588968,5,5,5,4,5,5,5,2,5,5,5,2,5,3,2,4
Sandy Cove  (Inner Shelter Cove),Class I,Class I,N/A,Eastern Shore,Remote,5,5,3,5,1,1,1,4,1.02,5,44.775464,5,-62.6581496,5,5,5,4,4,5,5,2,5,5,5,1,5,3,1,4
Eastern Sandy Cove (Outer Shelter Cove),Class I,Class I,N/A,Eastern Shore,Remote,5,5,3,5,1,1,1,4,1.03,5,44.7757415,5,-62.6571666,5,5,5,5,5,5,5,2,5,5,5,1,5,3,1,4
Little Charles,Class II,Class II,N/A,Eastern Shore,Remote,5,4,2,5,1,1,1,5,0.69,1,44.7496838,5,-62.7122847,5,5,5,5,5,5,5,1,5,4,5,1,5,2,1,3
Halfway Cove East,Class I,Class I,N/A,Eastern Shore,Remote,5,4,2,5,2,5,5,5,0.98,2,44.7598773,5,-62.7207606,5,5,5,5,4,5,5,1,5,3,5,1,5,3,1,4
Halfway Cove West,Class I,Class I,N/A,Eastern Shore,Remote,5,4,3,5,1,1,1,4,0.96,3,44.7605487,4,-62.7241236,5,5,5,4,4,5,5,2,5,5,5,1,5,3,1,4
Clam Harbour,Class II,Class II,Provincial park,Eastern Shore,Rural,5,4,4,4,4,4,3,5,0.67,4,44.7227523,4,-62.886818,5,5,5,3,2,5,5,2,5,5,2,4,5,3,2,3
Twin Clams Harbour,Class I,Class I,Provincial park,Eastern Shore,Remote,5,4,3,5,1,1,1,5,0.98,3,44.7170396,5,-62.8790644,5,5,5,4,3,5,5,3,5,5,5,1,5,3,1,4
Martinique,Class III,Class III,Provincial park,Eastern Shore,Rural,5,4,4,4,2,4,2,2,0.48,3,44.6920076,5,-63.1295102,4,5,1,1,1,5,4,2,5,5,3,1,4,3,2,3
Martinique Rural,Class IV,Class IV,N/A,Eastern Shore,Rural,4,4,3,3,1,1,1,3,0.22,3,44.6897005,4,-63.1432744,4,5,4,4,2,5,3,2,5,5,1,1,4,2,1,3
Fisherman's Beach,Class IV,Class IV,N/A,Eastern Shore,Village,4,3,3,4,2,3,2,3,0.04,1,44.637617,4,-63.2761356,5,5,1,1,1,1,5,2,5,4,2,1,1,3,2,3
Maugers (McNabb island),Class II,Class II,Provincial park,Halifax,Remote,5,4,3,5,2,3,2,3,0.69,4,44.6077182,5,-63.5250958,5,5,3,4,2,5,4,3,5,5,3,1,5,3,1,3
Hangmans (McNabb Island),Class II,Class II,Provincial park,Halifax,Remote,5,4,3,5,2,4,2,3,0.82,1,44.6029782,4,-63.5256875,5,5,1,1,1,5,5,3,5,3,5,1,5,4,2,3
MacComarks,Class IV,Class IV,Provincial park,Halifax,Village,4,4,3,3,1,1,1,3,0.12,1,44.606839,4,-63.4947329,4,1,1,1,1,5,3,2,5,4,1,1,2,3,1,4
Lawrencetown,Class III,Class III,Provincial park,Halifax,Rural,5,4,3,5,2,4,2,3,0.4,3,44.6437335,5,-63.3415033,4,5,1,1,1,5,5,3,5,4,2,1,4,3,2,3
Crystal Crescent West,Class II,Class II,Provincial park,Halifax,Rural,4,5,3,5,2,3,3,5,0.7,4,44.4583769,4,-63.6206649,4,5,5,5,4,5,5,2,5,5,1,1,5,3,1,4
Coolens,Class IV,Class IV,N/A,Halifax,Village,2,4,2,3,1,1,1,3,0.03,1,44.5235113,5,-63.7900706,4,3,1,1,1,3,4,3,5,4,1,1,4,3,1,2
Terence bay,Class IV,Class IV,N/A,Halifax,Village,2,5,2,3,2,4,3,4,0.2,1,44.4617104,5,-63.7080082,4,5,4,4,3,5,3,2,5,5,1,1,1,3,1,4
Cleveland,Class III,Class III,Provincial park,Halifax,Rural,2,4,3,4,1,1,1,4,0.43,1,44.6498495,5,-63.9989517,4,5,4,4,2,5,4,3,5,3,1,1,4,3,2,3
Queensland,Class IV,Class IV,Provincial park,Halifax,Rural,2,5,3,3,2,4,3,3,0,1,44.6346352,5,-64.0277514,2,5,4,3,3,5,3,2,5,5,1,1,1,4,4,3
Whynaught's beach,Class IV,Class IV,N/A,Halifax,Rural,2,4,2,4,1,1,1,4,0.08,1,44.6424881,5,-64.0133805,2,5,4,3,4,3,3,3,5,5,1,1,4,3,2,3
Conrads,Class II,Class II,Provincial park,Halifax,Rural,5,4,4,4,2,4,2,3,0.76,5,44.6444907,4,-63.37588,5,5,1,1,1,5,4,2,5,5,4,1,4,3,2,3
Rocky Conrads,Class III,Class III,Provincial park,Halifax,Remote,5,4,2,5,1,1,1,5,0.58,3,44.6420838,5,-63.3679281,5,5,1,1,1,5,5,2,5,3,5,1,5,4,2,2
Rainbow Haven,Class III,Class III,Provincial park,Halifax,Rural,5,3,3,3,3,3,2,1,0.48,3,44.6476059,5,-63.4168705,4,5,1,1,1,5,4,3,5,5,3,4,4,5,1,3
Crystal Crescent,Class II,Class II,N/A,Halifax,Rural,4,4,5,4,2,4,3,0,0.7,5,44.46014,5,-63.61884,5,5,3,4,4,5,5,3,3,5,1,3,5,2,2,5
Scotshorn,Class IV,Class IV,N/A,North Shore,Rural,5,3,4,3,2,3,4,2,0.14,4,45.7987837,5,-63.102377,4,3,1,1,1,5,3,2,5,5,3,1,4,2,1,3
Northport,Class IV,Class IV,Provincial park,North Shore,Rural,5,3,3,3,2,4,3,3,0.07,1,45.9271542,5,-63.842541,4,5,1,1,1,3,4,2,5,5,1,1,2,3,2,3
Heather,Class V,Class V,Provincial park,North Shore,Village,4,3,3,3,2,3,2,3,-0.29,1,45.8750543,4,-63.7536003,2,1,1,1,1,5,2,2,5,5,1,1,1,3,2,3
Gulf Shore,Class IV,Class IV,Provincial park,North Shore,Rural,4,3,4,5,1,1,1,4,0.14,3,45.8745043,5,-63.6283834,4,5,3,3,2,5,3,2,5,5,1,1,2,2,2,3
Blue Sea,Class III,Class III,Provincial park,North Shore,Rural,4,3,4,4,1,1,1,4,0.42,3,45.8029489,5,-63.3064378,4,5,4,3,2,5,4,2,5,5,2,3,3,3,2,3
Rushtons,Class IV,Class IV,Provincial park,North Shore,Rural,5,3,4,3,1,1,1,4,0.21,3,45.7575089,5,-63.1234913,4,5,1,1,1,5,2,2,5,5,1,4,3,3,2,3
Outer Caribou Island,Class II,Class II,Provincial park,North Shore,Rural,5,3,4,4,2,5,4,4,0.69,4,45.7622476,5,-62.7112772,5,5,1,1,1,5,3,2,5,5,4,1,4,4,2,3
Caribou Island Lighthouse,Class III,Class III,N/A,North Shore,Rural,5,3,4,4,1,1,1,5,0.62,1,45.7636056,5,-62.6801451,4,5,1,1,1,5,4,2,5,5,1,1,4,4,4,2
Caribou Island,Class IV,Class IV,N/A,North Shore,Village,5,4,4,3,2,3,3,4,0.35,3,45.7628924,4,-62.6860317,4,5,1,1,1,5,3,2,5,5,1,1,4,3,2,3
Waterside,Class III,Class III,Provincial park,North Shore,Rural,5,3,4,4,2,4,4,3,0.5,5,45.7622514,5,-62.7802552,4,5,3,3,5,5,4,2,5,5,3,1,4,2,2,3
Caribou Munroes Island,Class III,Class III,Provincial park,North Shore,Remote,5,4,4,3,1,1,1,3,0.45,4,45.7280246,5,-62.6539195,5,5,1,1,1,5,5,2,5,5,5,1,5,2,2,3
Melmerby,Class IV,Class IV,Provincial park,North Shore,Rural,5,4,5,3,2,4,4,2,0.31,4,45.655444,5,-62.5016773,4,5,1,1,1,5,4,3,5,5,3,1,3,3,2,3
Long Island,Class V,Class V,N/A,North Shore,Rural,2,3,4,3,1,1,1,3,-0.05,3,45.6763273,4,-62.3665673,4,5,1,1,1,5,5,3,5,5,2,1,2,3,2,2
Arisaig Prehistoric,Class III,Class III,N/A,North Shore,Rural,5,3,3,4,2,4,5,2,0.41,1,45.7547952,5,-62.1746004,5,5,3,4,3,5,2,1,5,4,4,1,5,4,1,3
Arisaig Waterfall,Class II,Class II,Provincial park,North Shore,Remote,5,3,3,5,2,4,5,2,0.7,1,45.7540322,5,-62.175418,5,5,1,1,1,5,4,1,5,4,4,5,5,4,1,3
Arisaig Harbour,Class V,Class V,Provincial park,North Shore,Village,2,3,3,3,1,1,1,2,-0.13,2,45.7600375,4,-62.1702441,4,3,1,1,1,5,3,3,5,5,1,1,2,3,1,3
Livingstone,Class IV,Class IV,N/A,North Shore,Village,4,3,3,3,2,3,3,3,0.2,3,45.8677332,3,-61.9803378,4,5,3,4,2,5,4,3,5,5,1,3,2,3,1,3
Cribbons,Class IV,Class IV,N/A,North Shore,Resort,4,3,4,3,2,3,4,2,0.28,3,45.7681303,5,-61.9101429,5,3,1,1,1,5,3,3,5,5,3,4,3,4,1,3
Jimtown,Class III,Class III,N/A,North Shore,Village,4,3,3,4,1,1,1,5,0.64,2,45.7123181,5,-61.9000309,5,5,1,1,1,5,5,4,5,5,3,5,3,4,2,3
Mahoneys,Class III,Class III,N/A,North Shore,Rural,2,3,4,3,1,1,1,4,0.42,3,45.7024754,5,-61.8997154,5,5,1,1,1,5,5,3,5,5,2,5,3,3,4,3
Cape Jack,Class V,Class V,N/A,North Shore,Rural,2,3,4,3,3,3,2,3,-0.21,3,45.6807681,4,-61.5763375,5,3,3,3,3,5,2,2,5,3,1,1,2,2,2,3
Barrios,Class V,Class V,N/A,North Shore,Rural,4,3,3,3,2,3,2,3,-0.18,2,45.6465581,4,-61.6227059,5,5,2,3,2,3,3,2,5,4,2,1,2,3,2,2
Rileys,Class II,Class II,N/A,North Shore,Rural,5,3,3,5,2,3,2,4,0.7,1,45.6337475,4,-61.7188951,5,5,2,3,2,5,5,2,5,4,5,4,4,4,2,2
Bayfield,Class V,Class V,Provincial park,North Shore,Rural,5,3,2,1,1,1,1,3,-0.11,3,45.6390902,4,-61.7575797,5,5,1,1,1,5,3,2,5,3,3,1,2,3,1,2
Pomquet,Class IV,Class IV,Provincial park,North Shore,Remote,5,3,4,3,2,4,2,4,0.32,5,45.649564,5,-61.8112637,5,5,1,1,1,5,5,2,5,5,4,1,2,3,2,2
Boy Scout,Class II,Class II,N/A,North Shore,Remote,5,3,4,5,2,3,2,4,0.73,4,45.6779143,5,-61.8481342,5,5,1,1,1,5,5,3,5,5,5,1,4,4,2,2
Dunns,Class II,Class II,N/A,North Shore,Remote,5,3,4,5,2,3,2,4,0.81,4,45.6856191,4,-61.8743385,5,5,1,1,1,5,5,3,5,5,5,1,5,4,2,3
Amherst Shore,Class V,Class V,Provincial park,North Shore,Rural,4,3,3,3,2,3,2,2,-0.02,1,45.9646034,5,-63.8741037,4,3,1,1,1,5,2,2,5,4,1,4,4,5,2,2
Bayswater,Class IV,Class IV,Provincial park,South Shore,Rural,2,4,4,3,1,1,1,4,0.25,3,44.502368,4,-64.0659658,4,3,3,4,3,3,4,2,5,5,1,1,4,3,2,3
Second Peninsula,Class III,Class III,Provincial park,South Shore,Rural,4,3,2,5,1,1,1,4,0.4,1,44.406099,5,-64.295026,5,5,1,1,1,5,4,1,5,5,3,1,5,2,1,1
Kingsburg,Class V,Class V,N/A,South Shore,Village,5,3,3,3,2,3,3,3,-0.13,3,44.2744421,4,-64.2574798,5,3,1,1,1,5,2,2,5,5,3,1,2,3,2,2
Hirtles,Class IV,Class IV,N/A,South Shore,Rural,4,3,3,3,3,4,3,4,0.1,3,44.2652733,5,-64.2725452,4,3,1,1,1,5,2,3,5,3,3,1,2,3,2,3
Rissers,Class III,Class III,Provincial park,South Shore,Rural,5,3,3,4,1,1,1,2,0.47,3,44.228924,5,-64.4329867,4,5,2,3,2,5,5,3,5,5,3,4,5,3,2,3
Beach meadows,Class III,Class III,N/A,South Shore,Rural,5,4,3,5,1,1,1,4,0.52,4,44.0560516,5,-64.6390883,5,5,4,4,3,5,5,2,5,5,2,1,5,3,2,3
White Point,Class IV,Class IV,N/A,South Shore,Resort,5,3,3,4,1,1,1,3,0.25,1,43.9640555,5,-64.7365133,4,5,3,3,3,5,4,2,5,4,2,1,2,4,2,3
Cranberries?,Class III,Class III,N/A,South Shore,Village,4,5,3,3,1,1,1,5,0.5,4,43.8991718,5,-64.8077439,5,5,4,3,2,5,4,3,5,5,2,3,4,4,2,3
St. Catherines River,Class I,Class I,National park,South Shore,Remote,5,5,4,5,1,1,1,4,1.04,5,43.839431937,5,-64.832269147,5,5,4,5,4,5,5,2,1,5,5,1,5,2,4,4
Radall's Sandy Beach,Class I,Class I,Provincial park,South Shore,Remote,5,4,3,5,1,1,1,4,0.96,3,43.8264985,4,-64.8815617,5,5,5,4,3,5,5,1,5,5,4,1,5,3,1,4
Radall's Cove,Class II,Class II,Provincial park,South Shore,Remote,5,4,3,5,1,1,1,3,0.81,3,43.8308348,5,-64.880964,5,5,4,4,3,5,5,1,5,5,5,3,5,2,1,4
Crescent (Lockeport),Class IV,Class IV,N/A,South Shore,Village,4,4,3,3,1,1,1,3,0.06,3,43.694687,5,-65.1228474,4,3,4,4,3,5,3,2,5,5,1,1,2,3,2,3
Ingomar,Class III,Class III,N/A,South Shore,Remote,4,4,3,5,1,1,1,3,0.47,1,43.570473,4,-65.346483,5,5,3,4,2,5,5,2,5,3,5,1,3,3,2,3
Roseway,Class II,Class II,N/A,South Shore,Rural,4,3,3,4,1,1,1,4,0.72,4,43.6020581,5,-65.3469258,4,5,4,3,2,5,4,2,5,5,4,5,4,4,2,2
Stoney Island,Class III,Class III,N/A,South Shore,Rural,4,4,4,3,1,1,1,4,0.44,5,43.4625558,5,-65.5771527,4,5,4,4,3,5,3,2,5,5,2,1,4,3,2,4
The Hawk,Class III,Class III,N/A,South Shore,Rural,4,5,4,4,1,1,1,4,0.63,5,43.4244841,5,-65.6102809,5,5,4,4,3,5,3,2,5,5,2,5,4,3,2,4
Daniel's Head,Class III,Class III,N/A,South Shore,Rural,5,4,3,5,1,1,1,3,0.51,4,43.4390437,4,-65.5921835,5,5,4,3,4,5,5,1,5,4,3,1,3,4,2,3
North East Point,Class IV,Class IV,N/A,South Shore,Urban,1,4,4,3,1,1,1,3,0.02,4,43.5169329,5,-65.6121866,1,1,1,1,1,5,2,2,5,5,1,5,3,4,4,3
Sand Hills,Class I,Class I,Provincial park,South Shore,Rural,5,5,4,5,2,2,4,3,0.87,5,43.5333738,5,-65.5619956,5,5,3,3,2,5,5,2,5,5,5,4,5,2,2,5
Sand dollar,Class III,Class III,N/A,South Shore,Village,5,3,3,4,1,1,1,5,0.61,1,44.3037899,5,-64.2955658,5,5,4,3,2,5,4,3,5,5,3,1,5,3,1,3
Sand Dollar (tidal flat),Class III,Class III,N/A,South Shore,Village,4,3,2,4,2,3,2,5,0.55,1,44.3025321,5,-64.2954607,5,3,5,3,2,5,4,3,5,5,1,1,4,5,1,3
Carters South,Class I,Class I,Provincial park,South Shore,Remote,5,5,4,5,2,4,2,5,0.9,2,43.9052239,5,-64.8120186,5,5,3,4,3,5,5,2,5,5,4,1,5,3,1,4
Carters central,Class I,Class I,Provincial park,South Shore,Rural,5,5,4,5,1,1,1,5,1.08,5,43.9070988,5,-64.8169893,5,5,5,4,4,5,4,3,5,5,4,1,5,4,1,4
Carters north,Class I,Class I,Provincial park,South Shore,Rural,4,5,4,4,1,1,1,3,0.86,3,43.9091004,4,-64.8236472,4,5,5,4,4,5,5,3,5,5,5,1,5,3,1,4
Summerville,Class IV,Class IV,Provincial park,South Shore,Village,4,5,5,3,1,1,1,2,0.15,3,43.9519172,5,-64.8167717,4,5,1,1,1,5,3,2,5,5,1,1,4,3,1,3
Hunts point,Class IV,Class IV,N/A,South Shore,Village,2,4,3,3,1,1,1,2,0,2,43.9534199,5,-64.7688071,4,5,1,1,1,5,3,2,5,5,1,4,4,2,1,3
Red Rocks,Class III,Class III,Provincial park,Yarmouth & Bay of Fundy,Rural,5,2,3,3,3,4,4,5,0.52,1,45.3491495,5,-64.8236956,5,5,4,4,3,5,5,3,1,4,3,3,4,3,2,3
West,Class III,Class III,N/A,Yarmouth & Bay of Fundy,Remote,5,3,3,5,3,4,4,2,0.48,4,45.4570865,3,-64.8651616,5,5,4,3,3,5,5,3,1,4,5,1,4,3,2,3
Edgetts,Class III,Class III,N/A,Yarmouth & Bay of Fundy,Rural,2,3,3,3,2,4,4,4,0.43,2,45.4566955,5,-64.8538039,5,5,4,4,2,5,4,3,1,4,3,4,4,2,1,3
Horseshoe,Class II,Class II,N/A,Yarmouth & Bay of Fundy,Remote,5,3,3,5,2,4,4,3,0.65,1,45.3026702,5,-64.7686188,5,5,1,1,1,5,5,1,1,4,5,1,5,3,1,3
Five Islands,Class IV,Class IV,Provincial park,Yarmouth & Bay of Fundy,Rural,5,4,3,2,2,3,3,5,0.28,1,45.3950219,5,-64.0618644,4,5,4,4,3,5,4,3,1,4,2,4,5,3,2,2
